lambda,model_cost_bps,model_stdev_bps,kappa,half_life_s
1e-08,0.9537583,29.67218,0.00050239363,1379.6894
1.2589254e-08,0.95584753,29.288203,0.0005636894,1229.6615
1.5848932e-08,0.95896222,28.826768,0.00063246211,1095.9505
1.9952623e-08,0.96354265,28.278063,0.00070962314,976.78211
2.5118864e-08,0.97017079,27.633688,0.00079619469,870.57499
3.1622777e-08,0.97958408,26.887945,0.00089332314,775.91987
3.9810717e-08,0.99267027,26.039276,0.001002294,691.56074
5.0118723e-08,1.0104343,25.091576,0.0011245485,616.3782
6.3095734e-08,1.0339334,24.055026,0.0012617022,549.37462
7.9432823e-08,1.0641869,22.946027,0.0014155657,489.66089
1e-07,1.1020843,21.78597,0.0015881674,436.44467
1.2589254e-07,1.1483216,20.598882,0.0017817787,389.01978
1.5848932e-07,1.2033975,19.408435,0.0019989425,346.75694
1.9952623e-07,1.2676777,18.235084,0.0022425029,309.09533
2.5118864e-07,1.3415089,17.094149,0.0025156394,275.53519
3.1622777e-07,1.425341,15.995257,0.0028219021,245.63119
3.9810717e-07,1.5198164,14.943041,0.0031652506,218.98651
5.0118723e-07,1.6258061,13.938532,0.003550094,195.24755
6.3095734e-07,1.744397,12.980637,0.0039813326,174.09929
7.9432823e-07,1.8768536,12.067274,0.0044643986,155.26104
1e-06,2.0245737,11.196068,0.0050052957,138.48276
1.2589254e-06,2.1890472,10.364686,0.0056106324,123.54172
1.5848932e-06,2.3718159,9.5709839,0.0062876473,110.23951
1.9952623e-06,2.5744246,8.8130594,0.007044219,98.399437
2.5118864e-06,2.798357,8.0892798,0.0078888542,87.864114
3.1622777e-06,3.0449466,7.3983064,0.0088306453,78.493378
3.9810717e-06,3.3152607,6.739117,0.0098791851,70.162384
5.0118723e-06,3.6099516,6.1110283,0.011044427,62.759902
6.3095734e-06,3.9290793,5.5137122,0.012336479,56.18679
7.9432823e-06,4.2719119,4.9472013,0.013765317,50.354611
1e-05,4.636724,4.4118758,0.015340415,45.184384
1.2589254e-05,5.0206223,3.9084231,0.017070298,40.605452
1.5848932e-05,5.4194401,3.4377616,0.018962037,36.554468
1.9952623e-05,5.827751,3.0009257,0.021020716,32.97448
2.5118864e-05,6.239041,2.5989136,0.023248944,29.814137
3.1622777e-05,6.646061,2.2325098,0.02564647,27.027001
3.9810717e-05,7.0413373,1.9021056,0.028209986,24.570986
5.0118723e-05,7.4177741,1.6075463,0.03093315,22.407908
6.3095734e-05,7.7692471,1.348034,0.03380687,20.503146
7.9432823e-05,8.0910753,1.1221053,0.03681981,18.825387
0.0001,8.3802918,0.92768897,0.039959047,17.346439
