size_pct,vol_mult,seed,algo,lambda,X,shortfall_bps,shortfall_adj_bps,cv_bps,vs_vwap_bps,fill_rate,participation,forced_shares,final_move_bps
0.005,1,10004,TWAP,,165100,-36.7713,1.84434,-38.6157,-0.261768,1,0.0655159,0,-49.5564
0.005,1,10004,VWAP,,165100,-36.3147,2.301,-38.6157,0.304033,1,0.0657743,0,-49.4555
0.005,1,10004,POV,,165100,-20.3408,18.2749,-38.6157,16.3039,1,0.0658162,0,-49.4555
0.005,1,10004,AC,1e-07,165100,-22.2052,16.4105,-38.6157,14.7641,1,0.0656905,0,-49.9601
0.005,1,10004,AC,1e-06,165100,-9.51629,29.0994,-38.6157,27.3495,1,0.065023,0,-49.4555
0.005,1,10004,AC,1e-05,165100,-5.26234,33.3533,-38.6157,31.391,1,0.065244,0,-49.2536
0.005,1,10004,Adaptive,1e-07,165100,-19.1795,19.4362,-38.6157,17.4776,1,0.0656174,0,-49.8592
0.005,1,10004,Adaptive,1e-06,165100,-8.12639,30.4893,-38.6157,28.506,1,0.0667907,0,-50.162
0.005,1,10004,Adaptive,1e-05,165100,-5.35734,33.2583,-38.6157,31.1943,1,0.065594,0,-50.0611
0.005,1,10001,TWAP,,165100,2.24252,0.267664,1.97486,-0.0788081,1,0.0656174,0,-17.4608
0.005,1,10001,VWAP,,165100,2.90458,0.929728,1.97486,0.438444,1,0.0652054,0,-17.3599
0.005,1,10001,POV,,165100,21.9959,20.021,1.97486,19.2197,1,0.0657036,0,-17.158
0.005,1,10001,AC,1e-07,165100,15.9158,13.9409,1.97486,13.4941,1,0.0655081,0,-17.259
0.005,1,10001,AC,1e-06,165100,25.65,23.6751,1.97486,23.1286,1,0.0656827,0,-16.9562
0.005,1,10001,AC,1e-05,165100,28.5006,26.5257,1.97486,26.0585,1,0.0669044,0,-17.3599
0.005,1,10001,Adaptive,1e-07,165100,-5.37898,-7.35383,1.97486,-7.88764,1,0.0651771,0,-17.4608
0.005,1,10001,Adaptive,1e-06,165100,10.2619,8.28701,1.97486,7.62253,1,0.0652311,0,-17.158
0.005,1,10001,Adaptive,1e-05,165100,20.5377,18.5629,1.97486,17.9301,1,0.064857,0,-17.158
0.005,1,10003,TWAP,,165100,-30.0324,1.39029,-31.4227,0.167764,1,0.0658031,0,-65.7051
0.005,1,10003,VWAP,,165100,-29.9832,1.43957,-31.4227,0.482086,1,0.0645275,0,-66.4117
0.005,1,10003,POV,,165100,-25.5309,5.89184,-31.4227,4.4897,1,0.0646386,0,-65.7051
0.005,1,10003,AC,1e-07,165100,-25.5626,5.86017,-31.4227,4.77048,1,0.0653525,0,-65.7051
0.005,1,10003,AC,1e-06,165100,-21.9971,9.42566,-31.4227,8.17724,1,0.0644167,0,-65.4024
0.005,1,10003,AC,1e-05,165100,-20.2507,11.1721,-31.4227,9.99166,1,0.064379,0,-65.3014
0.005,1,10003,Adaptive,1e-07,165100,-24.0916,7.33114,-31.4227,6.12125,1,0.0640991,0,-65.7051
0.005,1,10003,Adaptive,1e-06,165100,-21.5755,9.84722,-31.4227,8.62462,1,0.0644393,0,-65.4024
0.005,1,10003,Adaptive,1e-05,165100,-20.1355,11.2873,-31.4227,10.1395,1,0.0648315,0,-65.7051
0.005,1,10005,TWAP,,165100,-6.31247,-0.189408,-6.12306,-0.0920525,1,0.0649565,0,33.7105
0.005,1,10005,VWAP,,165100,-6.0875,0.0355587,-6.12306,0.370568,1,0.0649949,0,33.5086
0.005,1,10005,POV,,165100,5.09838,11.2214,-6.12306,11.3032,1,0.0640394,0,33.7105
0.005,1,10005,AC,1e-07,165100,1.34558,7.46864,-6.12306,7.77202,1,0.0646235,0,33.6095
0.005,1,10005,AC,1e-06,165100,8.7541,14.8772,-6.12306,15.183,1,0.0641115,0,33.7105
0.005,1,10005,AC,1e-05,165100,10.1555,16.2786,-6.12306,16.1082,1,0.0651077,0,33.8114
0.005,1,10005,Adaptive,1e-07,165100,-6.65334,-0.530283,-6.12306,-0.540235,1,0.064119,0,33.7105
0.005,1,10005,Adaptive,1e-06,165100,3.25304,9.3761,-6.12306,9.60513,1,0.0646868,0,33.5086
0.005,1,10005,Adaptive,1e-05,165100,7.12553,13.2486,-6.12306,13.5346,1,0.0649744,0,33.9123
0.001,1,10000,TWAP,,33000,-10.0018,-0.719658,-9.28216,0.0054541,1,0.0134787,0,5.24834
