size_pct,vol_mult,algo,lambda,n,mean_bps,stderr_bps,raw_mean_bps,raw_stderr_bps,stdev_bps,median_bps,p05_bps,p95_bps,cvar95_bps,worst_bps,fill_rate,participation,vs_vwap_bps,forced_frac
0.001,1,AC,1e-07,6,5.99725,3.51343,-8.5938,6.18688,15.1547,-10.0064,-24.9149,11.7286,15.296,15.296,1,0.0136387,6.18122,0
0.001,1,AC,1e-06,6,12.6831,6.31147,-1.90798,6.45672,15.8157,-2.17182,-18.4453,19.1167,23.708,23.708,1,0.0136933,12.6764,0
0.001,1,AC,1e-05,6,14.8457,6.12901,0.254669,5.54263,13.5766,0.126009,-14.3626,17.8599,20.975,20.975,1,0.0137152,14.9565,0
0.001,1,Adaptive,1e-07,6,-0.28719,5.24484,-14.8782,2.86296,7.0128,-17.0846,-22.2704,-6.0966,-5.86064,-5.86064,1,0.0136297,-0.18274,0
0.001,1,Adaptive,1e-06,6,7.58552,6.71924,-7.00553,4.65588,11.4045,-7.89116,-19.2308,7.61055,9.58892,9.58892,1,0.0137029,7.71744,0
0.001,1,Adaptive,1e-05,6,11.8285,6.08027,-2.76251,4.82978,11.8305,-3.54263,-14.6949,13.5244,17.4449,17.4449,1,0.0137019,12.0094,0
0.001,1,POV,,6,9.31407,6.18115,-5.27698,7.72547,18.9235,-11.0304,-23.2692,21.7699,26.9568,26.9568,1,0.0136254,9.52748,0
0.001,1,TWAP,,6,-0.104906,0.435431,-14.696,6.35015,15.5546,-8.37899,-35.5884,0.12815,2.03572,2.03572,1,0.0136612,-0.0443252,0
0.001,1,VWAP,,6,-0.104906,0.435431,-14.696,6.35015,15.5546,-8.37899,-35.5884,0.12815,2.03572,2.03572,1,0.0136612,-0.0443252,0
0.005,1,AC,1e-07,6,6.14278,3.49448,-8.44827,6.26407,15.3438,-10.0916,-24.7232,12.2732,15.9158,15.9158,1,0.0651195,6.01383,0
0.005,1,AC,1e-06,6,10.5304,6.24226,-4.06062,7.2621,17.7884,-11.2789,-20.0511,21.426,25.65,25.65,1,0.0650191,10.21,0
0.005,1,AC,1e-05,6,12.77,6.62992,-1.82105,7.36559,18.0419,-7.89121,-18.5753,23.9143,28.5006,28.5006,1,0.0653153,12.2953,0
0.005,1,Adaptive,1e-07,6,-0.178533,4.77761,-14.7696,3.062,7.50033,-16.6075,-22.8884,-5.69757,-5.37898,-5.37898,1,0.0649854,-0.563452,0
0.005,1,Adaptive,1e-06,6,6.70461,6.00038,-7.88644,5.0311,12.3236,-11.5924,-20.1999,8.50966,10.2619,10.2619,1,0.0652738,6.30085,0
0.005,1,Adaptive,1e-05,6,10.5059,6.32516,-4.08517,6.22676,15.2524,-9.06459,-18.579,17.1847,20.5377,20.5377,1,0.0650129,10.151,0
0.005,1,POV,,6,6.8253,4.9005,-7.76575,7.33468,17.9662,-13.9085,-24.2334,17.7715,21.9959,21.9959,1,0.0652837,6.37554,0
0.005,1,TWAP,,6,0.441553,0.396969,-14.1495,6.34098,15.5322,-7.79175,-35.0866,0.493827,2.24252,2.24252,0.999394,0.0653108,0.16342,0
0.005,1,VWAP,,6,0.610146,0.477472,-13.9809,6.33518,15.518,-7.75421,-34.7318,0.932498,2.90458,2.90458,0.999495,0.0652091,0.44686,0
